category,country_iso3,installs
PRODUCTIVITY,IND,3465266779
PRODUCTIVITY,USA,3937803160
PRODUCTIVITY,GBR,1890145515
PRODUCTIVITY,AUS,1575121263
PRODUCTIVITY,CAN,1732633389
PRODUCTIVITY,ARE,1575121263
TOOLS,IND,2799566468
TOOLS,USA,3181325534
TOOLS,GBR,1527036255
TOOLS,AUS,1272530212
TOOLS,CAN,1399783234
TOOLS,ARE,1272530212
FAMILY,IND,2507575523
FAMILY,USA,2849517642
FAMILY,GBR,1367768467
FAMILY,AUS,1139807056
FAMILY,CAN,1253787761
FAMILY,ARE,1139807056
PHOTOGRAPHY,IND,2466016093
PHOTOGRAPHY,USA,2802291017
PHOTOGRAPHY,GBR,1345099687
PHOTOGRAPHY,AUS,1120916406
PHOTOGRAPHY,CAN,1233008046
PHOTOGRAPHY,ARE,1120916406
NEWS_AND_MAGAZINES,IND,1832433230
NEWS_AND_MAGAZINES,USA,2082310491
NEWS_AND_MAGAZINES,GBR,999509034
NEWS_AND_MAGAZINES,AUS,832924195
NEWS_AND_MAGAZINES,CAN,916216615
NEWS_AND_MAGAZINES,ARE,832924195
